symptoms,disease,diagnosis,medicines,tests,precautions,food,emergency
"chronic cough, night sweats",Asthma,Bacterial lung infection,Tamsulosin (0.4mg daily),Rheumatoid factor test,Low sodium diet,High-protein diet,False
"joint stiffness, swelling",Hypertension,Autoimmune joint disorder,Amoxicillin (500mg twice daily),Rheumatoid factor test,Low sodium diet,"Cranberry juice, Water",False
"chronic cough, night sweats",Hypertension,Autoimmune joint disorder,Tamsulosin (0.4mg daily),"Blood pressure check, ECG",Hydration,"Green vegetables, Whole grains",False
"chronic cough, night sweats",Arthritis,Elevated blood pressure,Tamsulosin (0.4mg daily),"X-ray, MRI",Avoid smoking,"Low-fat dairy, Fish",True
"joint stiffness, swelling",Typhoid,Chronic respiratory inflammation,Amoxicillin (500mg twice daily),Malaria antigen test,Low sodium diet,High-protein diet,False
"back pain, blood in urine",Malaria,Autoimmune joint disorder,Amoxicillin (500mg twice daily),Rheumatoid factor test,Low sodium diet,"Low-fat dairy, Fish",True
"chronic cough, night sweats",Kidney Stones,Chronic respiratory inflammation,Lisinopril (10mg daily),Rheumatoid factor test,Hydration,"Cranberry juice, Water",False
"joint stiffness, swelling",Tuberculosis,Elevated blood pressure,Tamsulosin (0.4mg daily),"X-ray, MRI",Avoid smoking,"Low-fat dairy, Fish",True
"back pain, blood in urine",Stroke,Autoimmune joint disorder,Ibuprofen (200mg 8 hourly),"Urine analysis, CT scan",Avoid smoking,"Turmeric, Omega-3 rich foods",False
"back pain, blood in urine",Arthritis,Autoimmune joint disorder,Hydroxychloroquine (200mg daily),"Urine analysis, CT scan",Mosquito net usage,"Green vegetables, Whole grains",True
"fatigue, weight loss",Kidney Stones,Bacterial lung infection,Tamsulosin (0.4mg daily),"Urine analysis, CT scan",Avoid smoking,"Turmeric, Omega-3 rich foods",True
"fatigue, weight loss",Epilepsy,Chronic respiratory inflammation,Tamsulosin (0.4mg daily),"X-ray, MRI",Physical therapy,"Turmeric, Omega-3 rich foods",True
"back pain, blood in urine",Typhoid,Elevated blood pressure,Lisinopril (10mg daily),Malaria antigen test,Low sodium diet,High-protein diet,True
"fatigue, weight loss",Asthma,Bacterial lung infection,Lisinopril (10mg daily),Malaria antigen test,Avoid smoking,High-protein diet,True
"back pain, blood in urine",Asthma,Bacterial lung infection,Ibuprofen (200mg 8 hourly),Malaria antigen test,Hydration,High-protein diet,True
"joint stiffness, swelling",Epilepsy,Autoimmune joint disorder,Lisinopril (10mg daily),Rheumatoid factor test,Mosquito net usage,"Green vegetables, Whole grains",True
"joint stiffness, swelling",Asthma,Hard mineral deposits in kidneys,Lisinopril (10mg daily),Rheumatoid factor test,Avoid smoking,"Low-fat dairy, Fish",False
"fatigue, weight loss",Tuberculosis,Bacterial lung infection,Lisinopril (10mg daily),Malaria antigen test,Avoid smoking,"Cranberry juice, Water",True
"fatigue, weight loss",Kidney Stones,Autoimmune joint disorder,Lisinopril (10mg daily),Rheumatoid factor test,Avoid smoking,"Green vegetables, Whole grains",True
"joint stiffness, swelling",Kidney Stones,Chronic respiratory inflammation,Lisinopril (10mg daily),"X-ray, MRI",Hydration,"Low-fat dairy, Fish",False
"chronic cough, night sweats",Typhoid,Autoimmune joint disorder,Tamsulosin (0.4mg daily),"Blood pressure check, ECG",Physical therapy,"Cranberry juice, Water",True
"dizziness, nausea",Arthritis,Bacterial lung infection,Ibuprofen (200mg 8 hourly),"Blood pressure check, ECG",Avoid smoking,"Cranberry juice, Water",True
"back pain, blood in urine",Asthma,Hard mineral deposits in kidneys,Hydroxychloroquine (200mg daily),Malaria antigen test,Avoid smoking,High-protein diet,True
"dizziness, nausea",Hypertension,Chronic respiratory inflammation,Amoxicillin (500mg twice daily),Malaria antigen test,Low sodium diet,"Green vegetables, Whole grains",False
"joint stiffness, swelling",Stroke,Chronic respiratory inflammation,Hydroxychloroquine (200mg daily),"Urine analysis, CT scan",Physical therapy,"Cranberry juice, Water",False
"fatigue, weight loss",Arthritis,Elevated blood pressure,Ibuprofen (200mg 8 hourly),"X-ray, MRI",Mosquito net usage,"Turmeric, Omega-3 rich foods",True
"back pain, blood in urine",Epilepsy,Autoimmune joint disorder,Lisinopril (10mg daily),Malaria antigen test,Physical therapy,High-protein diet,False
